date,open,high,low,close
2021-01-01,14012.55,14137.21,13997.33,14122
2021-01-04,14160.17,14185.19,14019.67,14044.69
2021-01-05,14075.38,14134.73,13919.79,13979.14
2021-01-06,14025.4,14173.75,13989.98,14138.32
2021-01-07,14120.18,14363.25,14094.5,14337.57
2021-01-08,14309.54,14822.65,14212.84,14725.95
2021-01-11,14708.09,14750.19,14671.14,14713.24
2021-01-12,14703.3,14735.29,14488.58,14520.57
2021-01-13,14569.38,14895.86,14392.9,14719.38
2021-01-14,14705.47,14860.39,14699.18,14854.09
2021-01-15,14868.96,14877.42,14550.51,14558.97
2021-01-18,14520.11,14538.74,14363.15,14381.78
2021-01-19,14408.75,14538.92,14367.1,14497.27
2021-01-20,14486.77,14757.74,14431.89,14702.86
2021-01-21,14767.25,14839.6,14721.82,14794.17
2021-01-22,14759.24,14797.78,14520.17,14558.7
2021-01-25,14541.61,14668.45,14400.73,14527.57
2021-01-26,14549.22,14559.95,14483.44,14494.16
2021-01-27,14472.46,14596.5,14451.99,14576.02
2021-01-28,14631.7,14915.15,14530.34,14813.79
2021-01-29,14773.48,14883.48,14424.83,14534.84
2021-02-01,14527.83,14615.05,14340.99,14428.21
2021-02-02,14413.86,14517.96,14344.1,14448.21
2021-02-03,14482.43,14622.48,14211.72,14351.77
2021-02-04,14341.4,14356.71,14063.47,14078.78
2021-02-05,14097.67,14327.19,14055.94,14285.45
2021-02-08,14242.64,14448.24,14139.36,14344.96
2021-02-09,14367.89,14504.19,14261.67,14397.97
2021-02-10,14399.64,14459.84,14352.3,14412.5
2021-02-11,14441.56,14490.25,14273.69,14322.38
2021-02-12,14332.99,14466.01,14121.47,14254.49
2021-02-15,14261.33,14292.01,14207.17,14237.85
2021-02-16,14218.17,14513.93,14108.97,14404.73
2021-02-17,14376.02,14535.42,14273.74,14433.14
2021-02-18,14416.44,14602.69,14075.39,14261.64
2021-02-19,14234.63,14423.01,13909.58,14097.96
2021-02-22,14083.17,14239.76,13994.37,14150.96
2021-02-23,14135.34,14218.14,13816.81,13899.61
2021-02-24,13879.93,13939.51,13783.51,13843.08
2021-02-25,13837.28,14171.24,13797.32,14131.28
2021-02-26,14109.11,14243.48,14035.32,14169.69
2021-03-01,14168.69,14503.68,14100.35,14435.33
2021-03-02,14427.5,14427.68,14314.68,14314.86
2021-03-03,14348.76,14350.51,14189.61,14191.36
2021-03-04,14178.6,14198.12,14103,14122.52
2021-03-05,14140.59,14202.25,13955.53,14017.19
2021-03-08,14008.57,14109.83,13852.21,13953.48
2021-03-09,13985.63,14025.7,13892.09,13932.15
2021-03-10,13925.56,14038.76,13472.75,13585.95
2021-03-11,13623.02,13763.07,13329.58,13469.64
2021-03-12,13491.92,13551.58,13462.4,13522.06
2021-03-15,13546.27,13700.11,13521.82,13675.66
2021-03-16,13669.12,13717.09,13641.78,13689.75
2021-03-17,13702.39,13770.39,13475.45,13543.44
2021-03-18,13546.15,14048.17,13393.16,13895.18
2021-03-19,13923.02,13944.68,13829.25,13850.91
2021-03-22,13873.94,13944.63,13845.09,13915.79
2021-03-23,13950.5,14055.1,13837.15,13941.76
2021-03-24,13942.97,14082.09,13844.19,13983.31
2021-03-25,13971.03,14101.76,13903.68,14034.41
2021-03-26,13999.21,14010.51,13993.94,14005.23
2021-03-29,13969.75,14010.4,13888.99,13929.64
2021-03-30,13930.37,14268.6,13817.82,14156.05
2021-03-31,14215.32,14247.84,14042.61,14075.13
2021-04-01,14035.95,14247.86,13881.76,14093.66
2021-04-02,14093.27,14198.57,13937.91,14043.22
2021-04-05,14030.79,14398.8,13974.04,14342.05
2021-04-06,14306,14411.74,14069.68,14175.42
2021-04-07,14208.18,14628.9,14148.08,14568.8
2021-04-08,14529.33,15139.22,13435.55,14045.45
2021-04-09,14089.47,14254.01,13378.77,13543.32
2021-04-12,13735.22,14250.35,12813.52,13328.65
2021-04-13,13368.93,13551.99,12871.23,13054.3
2021-04-14,13061.23,13394.47,12756.22,13089.46
2021-04-15,13076.2,13135.67,12265.93,12325.4
2021-04-16,12325.24,12841.18,12109.08,12625.02
2021-04-19,12561.64,13181.48,12418.31,13038.16
2021-04-20,13077.51,13226.84,12983.24,13132.58
2021-04-21,13088.11,13398.26,13029.5,13339.66
2021-04-22,13341.69,13472.07,12923.24,13053.62
2021-04-23,13076.83,13233.36,12762.63,12919.15
2021-04-26,12909.38,13074.45,12778.15,12943.23
2021-04-27,13105.33,13332.77,12733.46,12960.89
2021-04-28,12952.01,13297.85,11071.5,11417.34
2021-04-29,11409.13,11668.15,10990.47,11249.5
2021-04-30,11168.96,11761.5,10933.98,11526.52
2021-05-03,11518.8,12399.74,11158.53,12039.47
2021-05-04,11978.25,12018.04,11562.69,11602.47
2021-05-05,11677.52,12285.72,11455.47,12063.67
2021-05-06,12079.45,12238.91,11841,12000.45
2021-05-07,12110.1,12858.63,11800.67,12549.19
2021-05-10,12533.57,12833.77,12117.69,12417.88
2021-05-11,12470.62,12760.29,12307.42,12597.1
2021-05-12,12545.95,12975.7,12357,12786.75
2021-05-13,12892.87,12996.75,12456.72,12560.6
2021-05-14,12551.04,13476.37,12165.87,13091.2
2021-05-17,13074.65,13157.22,12877.82,12960.39
2021-05-18,12987.7,13138.97,12574.4,12725.67
2021-05-19,12752.09,12950.34,12655.1,12853.35
2021-05-20,12886.44,12941.71,12736.89,12792.16
2021-05-21,12700.35,13268.36,12579.54,13147.55
2021-05-24,13187.2,13241.61,12987.24,13041.65
2021-05-25,13007.95,13079.38,12910.65,12982.08
2021-05-26,12997.41,13168.29,12635.54,12806.42
2021-05-27,12772.54,12783.4,12771,12781.85
2021-05-28,12847.9,13065.61,12831.77,13049.48
2021-05-31,13049.05,13131.61,12802.59,12885.16
2021-06-01,12929.35,12974.13,12603.23,12648.01
2021-06-02,12624.97,12881.7,12449.48,12706.21
2021-06-03,12764.16,12991.33,12653.03,12880.2
2021-06-04,12833.84,13237.74,12697.94,13101.83
2021-06-07,13127.16,13150.37,13098.84,13122.05
2021-06-08,13106.99,13249.38,13055.78,13198.17
2021-06-09,13211.36,13636.73,13098.84,13524.2
2021-06-10,13604.91,13713.75,13347.27,13456.11
2021-06-11,13298.27,14581.48,12951.5,14234.71
2021-06-14,14261.99,14714.04,13997.06,14449.11
2021-06-15,14474.83,14588.32,14252.32,14365.81
2021-06-16,14292.12,15087.38,14158.44,14953.7
2021-06-17,14904.79,15755.45,14792.93,15643.59
